dictionary_id	entry	slug	source_filename
4822	bai oiadadawu	bai-oiadadawu	baiOiadadawu.wav
4822	bai oiadadawu	bai-oiadadawu	boe_oiadadao.webm
4823	barae eno moto	barae-eno-moto	baraeEnoMoto.wav
4824	bataradu	bataradu	boataradu.webm
4825	boe etugu	boe-etugu	boeEtugu.wav
4826	boe kimo	boe-kimo	boeKimo.wav
4827	bokware	bokware	bokware.wav
4828	boware	boware	boware.wav
4829	dobagodu	dobagodu	dobagodu.wav
4830	eimejera kurirewu	eimejera-kurirewu	eimejera_kurirewu.webm
4832	iemaruwo	iemaruwo	iemaruwo.wav
4833	ikera bararedo	ikera-bararedo	ikeraBararedo.wav
4834	iniaore	iniaore	iniaore.wav
4835	itao kororogo	itao-kororogo	itaoKororogo.wav
4836	ikidoru	ikidoru	itidoru.wav
4837	ito ra	ito-ra	ito_ra.webm
4838	ja adurigire	ja-adurigire	jaAdurigire.wav
4839	jawo rekoda ji	jawo-rekoda-ji	jawoRekodaji.wav
4841	joru cere	joru-cere	joru_cere.webm
4842	jorure	jorure	jorure.webm
4844	kamaura	kamaura	kamaura01.wav
4845	kana koboreu jaogwai	kana-koboreu-jaogwai	ikanaPegarewuJawai.wav
4846	keboeiri	keboeiri	keboeiri.webm
4847	ke	ke	kedureJi.wav
4849	kore	kore	kore02.wav
4851	kujedo	kujedo	kujedo.wav
4852	kuredegedo	kuredegedo	kuredegedo.wav
4853	ma	ma	ma.webm
4854	meaogoru	meaogoru	meaoguru.wav
4855	meri boka	meri-boka	meri_boka.webm
4856	meri joku mugure betaiadada	meri-joku-mugure-betaiadada	meriJokuMugureBetaiadada.wav
4857	meri kodu tabo	meri-kodu-tabo	meriKoduTabo.wav
4858	ocarore	ocarore	ocarore.webm
4859	okware	okware	okware.wav
4860	pejo	pejo	pejo.webm
4861	pobaia	pobaia	pobaia.webm
4863	buporira	buporira	poporira.wav
4864	raragodure	raragodure	raraGodure.wav
4865	ruke	ruke	ruke02.wav
4866	tamudo	tamudo	tamudo.webm
4867	tariga kurirewu	tariga-kurirewu	tariga_kurireu.webm
4868	togo	togo	togore.wav
4869	torito ji	torito-ji	toritoji.wav
4871	udo	udo	udo.webm
